x,y,Distance
Śląskie,Warmińsko-Mazurskie,0.0
Śląskie,Pomorskie,0.0
Śląskie,Łódzkie,0.0
Śląskie,Świętokrzyskie,0.0
Śląskie,Lubelskie,0.0
Śląskie,Podkarpackie,0.0
Śląskie,Podlaskie,0.0
Śląskie,Mazowieckie,0.0
Wielkopolskie,Prague,0.0
Wielkopolskie,Central Bohemian,0.0
Wielkopolskie,South Bohemian,0.0
Wielkopolskie,Plzeň,0.0
Wielkopolskie,Karlovy Vary,0.0
Wielkopolskie,Ústí nad Labem,0.0
Wielkopolskie,Liberec,0.0
Wielkopolskie,Hradec Králové,0.0
Wielkopolskie,Olomouc,0.0
Wielkopolskie,South Moravian,0.0
Wielkopolskie,Vysočina,0.0
Wielkopolskie,Pardubice,0.0
Wielkopolskie,Zlín,0.0
Wielkopolskie,Moravian-Silesian,0.0
Wielkopolskie,Małopolskie,0.0
Wielkopolskie,Śląskie,0.0
Wielkopolskie,Wielkopolskie,200.0
Wielkopolskie,Zachodniopomorskie,0.0
Wielkopolskie,Lubuskie,0.0
Wielkopolskie,Dolnośląskie,0.0
Wielkopolskie,Opolskie,0.0
Wielkopolskie,Kujawsko-Pomorskie,0.0
Wielkopolskie,Warmińsko-Mazurskie,0.0
Wielkopolskie,Pomorskie,0.0
Wielkopolskie,Łódzkie,0.0
Wielkopolskie,Świętokrzyskie,0.0
Wielkopolskie,Lubelskie,0.0
Wielkopolskie,Podkarpackie,0.0
Wielkopolskie,Podlaskie,0.0
Wielkopolskie,Mazowieckie,0.0
Zachodniopomorskie,Prague,0.0
Zachodniopomorskie,Central Bohemian,57.4320209483613
Zachodniopomorskie,South Bohemian,54.38986357599632
Zachodniopomorskie,Plzeň,0.0
Zachodniopomorskie,Karlovy Vary,0.0
Zachodniopomorskie,Ústí nad Labem,43.03435108552408
Zachodniopomorskie,Liberec,33.84573252091651
Zachodniopomorskie,Hradec Králové,36.47110113273374
Zachodniopomorskie,Olomouc,0.0
Zachodniopomorskie,South Moravian,38.97331475765011
Zachodniopomorskie,Vysočina,0.0
Zachodniopomorskie,Pardubice,0.0
Zachodniopomorskie,Zlín,39.26352599092713
Zachodniopomorskie,Moravian-Silesian,0.0
